engine,repo,lang,files,phase,wall_s,user_s,sys_s,max_rss_mb
cozo,ripgrep,rs,0,MISSING,NA,NA,NA,NA
cozo,gin,go,0,MISSING,NA,NA,NA,NA
cozo,openclaw/discord,ts,tsx,522,parse,1.79,3.53,0.42,204
cozo,openclaw/discord,ts,tsx,522,query_find_function_by_name,0.26,0.09,0.02,24
cozo,openclaw/discord,ts,tsx,522,query_find_callers,0.26,0.09,0.05,28
cozo,openclaw/discord,ts,tsx,522,query_find_callees,0.26,0.03,0.01,24
cozo,openclaw/discord,ts,tsx,522,query_find_cycles,12.23,11.89,0.29,47
cozo,openclaw/discord,ts,tsx,522,query_find_implementations_of,0.26,0.09,0.02,24
cozo,openclaw/discord,ts,tsx,522,query_export_surface,0.26,0.05,0.01,49
cozo,openclaw/discord,ts,tsx,522,query_import_depth,30.02,54.20,26.77,2838
cozo,openclaw/ui,ts,tsx,461,parse,1.78,4.06,0.40,248
cozo,openclaw/ui,ts,tsx,461,query_find_function_by_name,0.26,0.09,0.02,24
cozo,openclaw/ui,ts,tsx,461,query_find_callers,0.26,0.09,0.05,28
cozo,openclaw/ui,ts,tsx,461,query_find_callees,0.26,0.03,0.01,24
cozo,openclaw/ui,ts,tsx,461,query_find_cycles,30.00,28.56,1.56,31
cozo,openclaw/ui,ts,tsx,461,query_find_implementations_of,0.27,0.09,0.02,24
cozo,openclaw/ui,ts,tsx,461,query_export_surface,0.27,0.07,0.01,48
cozo,openclaw/ui,ts,tsx,461,query_import_depth,0.27,0.05,0.03,25
cozo,tokio,rs,0,MISSING,NA,NA,NA,NA
cozo,django,py,0,MISSING,NA,NA,NA,NA
